id,name,album,release_date,track_number,attribute names,attribute values,uri
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,popularity,74,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,speechiness,0.0397,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,tempo,94.868,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,loudness,-4.785,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,valence,0.305,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,acousticness,0.000537,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,danceability,0.545,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,liveness,0.385,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,instrumentalness,5.59E-05,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,energy,0.885,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,duration_ms,235800,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
